username,description,user_char,primary_label,label_mode_cap,allowed_labels,emission_params_json,style_json,behavior_json
benign_00000,Bot user benign_00000,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00001,Bot user benign_00001,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00002,Bot user benign_00002,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00003,Bot user benign_00003,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00004,Bot user benign_00004,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00005,Bot user benign_00005,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00006,Bot user benign_00006,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00007,Bot user benign_00007,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00008,Bot user benign_00008,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00009,Bot user benign_00009,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00010,Bot user benign_00010,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
